date,code,usdprice
2007-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2007-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.37
2007-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.37
2007-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.37
2007-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.38
2007-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.39
2008-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.39
2008-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.39
2008-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.38
2008-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.39
2008-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2008-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2008-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2008-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.35
2008-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.33
2008-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2008-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2008-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.34
2009-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.33
2009-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2009-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2009-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2009-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.3
2009-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.31
2009-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.35
2009-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.35
2009-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.36
2009-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.38
2009-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2009-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2010-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2010-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2010-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2010-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2010-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.42
2010-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2010-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2010-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2010-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2010-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2010-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2010-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2011-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2011-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2011-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.4
2011-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2011-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2011-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2011-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2011-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2011-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2011-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2011-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2011-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.39
2012-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2012-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2012-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.42
2012-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.41
2012-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
